content,Lesson,category,answer1,answer2,answer3,answer4
agricola,A-declension I,vocab-noun,farmer,,,
aqua,A-declension I,vocab-noun,water,,,
causa,A-declension I,vocab-noun,cause,,,
domina,A-declension I,vocab-noun,lady,,,
filia,A-declension I,vocab-noun,daughter,,,
fortuna,A-declension I,vocab-noun,fortune,,,
fuga,A-declension I,vocab-noun,flight,,,
inuria,A-declension I,vocab-noun,wrong,,,
luna,A-declension I,vocab-noun,moon,,,
nauta,A-declension I,vocab-noun,sailor,,,
puella,A-declension I,vocab-noun,girl,,,
silva,A-declension I,vocab-noun,forest,,,
terra,A-declension I,vocab-noun,land,,,
amo,A-declension I,vocab-verb,I love,,,
laboro,A-declension I,vocab-verb,I labor,,,
nuntio,A-declension I,vocab-verb,I announce,,,
porto,A-declension I,vocab-verb,I carry,,,
pugno,A-declension I,vocab-verb,I fight,,,
The daughter loves,A-declension I,translation-en,Filia amat,,,
The daughters love,A-declension I,translation-en,Filiae amant,,,
The sailor is carrying,A-declension I,translation-en,Nauta portat,,,
The sailors carry,A-declension I,translation-en,Nautae portant,,,
The farmer does labor,A-declension I,translation-en,Agricola laborat,,,
The farmers labor,A-declension I,translation-en,Agricolae laborant,,,
The girl is announcing,A-declension I,translation-en,Puella nuntiat,,,
The girls do announce,A-declension I,translation-en,Puellae nuntiant,,,
The ladies are carrying,A-declension I,translation-en,Dominae portant,,,
The lady caries,A-declension I,translation-en,Domina portat,,,
Nauta pugnat,A-declension I,translation-lat,The sailor fights,a sailor fights,,
Nautae pugnant,A-declension I,translation-lat,The sailors fight,Sailors fight,,
Puella amat,A-declension I,translation-lat,The girl loves,a girl loves,,
Puellae amant,A-declension I,translation-lat,The girls love,girls love,,
Agricola portat,A-declension I,translation-lat,The farmer carries,a farmer carries,,
Agricolae portant,A-declension I,translation-lat,The farmers carry,farmers carry,,
Filia laborat,A-declension I,translation-lat,The girl works,a girl works,,
Filiae laborant,A-declension I,translation-lat,The girls work,girls work,,
Nauta nuntiat,A-declension I,translation-lat,The sailor announces,a sailor announces,,
Nautae nuntiant,A-declension I,translation-lat,The sailors announce,sailors announce,,
Dominae amant,A-declension I,translation-lat,The ladies love,ladies love,,
Domina amat,A-declension I,translation-lat,The lady loves,a lady loves,,
dea,A-declension II,vocab-noun,goddess,,,
Diana,A-declension II,vocab-noun,Diana,,,
fera,A-declension II,vocab-noun,beast,,,
Latona,A-declension II,vocab-noun,Latona,,,
sagitta,A-declension II,vocab-noun,arrow,,,
est,A-declension II,vocab-verb,is,,,
neco,A-declension II,vocab-verb,I kill,,,
et,A-declension II,vocab-verb,and,,,
the daughter of Latona does love the forest,A-declension II,translation-en,filia Latonae silvam amat,,,
Latona's daughter carries arrows,A-declension II,translation-en,filia Latonae sagittas portat,,,
the farmer's daughters do labor,A-declension II,translation-en,filiae argicolae laborant,,,
the farmer's daughter loves the waters of the forest,A-declension II,translation-en,filia agricolae aquas silvae amat,,,
the sailor is announcing the girl's flight,A-declension II,translation-en,nauta fugam puellae nuntiat,,,
the girls announce the sailors' wrongs,A-declension II,translation-en,puellae iniurias nautae nuntiant,,,
the farmer's daughter labors,A-declension II,translation-en,agricolae puella laborat,,,
Diana's arrows are killing the wild beasts of the land,A-declension II,translation-en,sagittae Dianae feras terrae necant,,,
Diana est dea. Quis est Diana?,A-declension II,conversation,dea,,,
Diana est filia Latonae. Cuius filia est Diana?,A-declension II,conversation,Latona,,,
Latona Dianam amat. Quis Dianam amat?,A-declension II,conversation,Latona,,,
Diana amat silvam. Quis silvam amat?,A-declension II,conversation,Diana,,,
Diana sagittas portat. Quis sagittas portat?,A-declension II,conversation,Diana,,,
Diana est dea. Quis est Diana?,A-declension II,conversation,dea,,,
Latona est dea,A-declension II,translation-la,Latona is a goddess,Latona is the goddess,,
Diana et Latona sunt deae,A-declension II,translation-la,Diana and Latona are goddesses,,,
Diana est dea lunae,A-declension II,translation-la,Diana is the goddess of the moon,Diana is a goddess of the moon,,
Diana est filia Latonae,A-declension II,translation-la,Diana is the daughter of Lataona,Diana is a daughter of Latona,,
Latona Dianam amat,A-declension II,translation-la,Latona loves Diana,,,
Diana est dea silvarum,A-declension II,translation-la,Diana is goddess of the forests,Diana is a goddess of the forests,Diana is the goddess of forests,
Diana silvam amat,A-declension II,translation-la,Diana loves the forest,Diana loves a forest,,
Diana sagittas portat,A-declension II,translation-la,Diana carries arrows,Diana carries the arrows,,
Diana feras silvae necat,A-declension II,translation-la,Diana kills beasts of the forest,Diana kills the beasts of the forest,,
Ferae terrarum pugnant,A-declension II,translation-la,beasts of the lands fight,the beasts of the lands fight,,
