Lesson,content,category,answer1,answer2,answer3,answer4,answer5,answer6
Basics I,The farmer does labor.,translation-eng,Agricola laborat.,Laborat agricola.,,,,
Basics I,The farmers labor.,translation-eng,Agricolae laborant.,Laborant agricolae.,,,,
Basics I,causa,vocab,cause,,,,,
Basics I,filia,vocab,daughter,,,,,
Basics I,The lady carries.,translation-eng,Domina portat.,Portat domina.,,,,
Basics I,The ladies are carrying.,translation-eng,Dominae portant.,Portant dominae.,,,,
Basics I,agricola,vocab,farmer,,,,,
Basics I,The daughter loves.,translation-eng,Filia amat.,Amat filia.,,,,
Basics I,The daughters love.,translation-eng,Filiae amant.,Amant filiae.,,,,
Basics I,fuga,vocab,flight,,,,,
Basics I,silva,vocab,forest,,,,,
Basics I,fort?na,vocab,fortune,,,,,
Basics I,puella,vocab,girl,,,,,
Basics I,n?ntiat,vocab,It announces,He announces,She announces,It is announcing.,She is announcing.,He is announcing.
Basics I,portat,vocab,It carries,He carries,She carries,It is carrying.,He is carrying.,She is carrying.
Basics I,pugnat,vocab,It fights,He fights,She fights,It is fighting.,She is fighting.,He is fighting.
Basics I,amat,vocab,It loves,He loves,She loves,,,
Basics I,lab?rat,vocab,It works,He works,She works,It is working.,He is working.,She is working.
Basics I,domina,vocab,lady,,,,,
Basics I,terra,vocab,land,,,,,
Basics I,l?na,vocab,moon,,,,,
Basics I,The sailor is carrying.,translation-eng,Nauta portat.,Portat nauta.,,,,
Basics I,The sailors carry.,translation-eng,Nautae portant.,Portant nautae.,,,,
Basics I,The girls do announce.,translation-eng,Puella nuntiant.,Nuntiant puella.,,,,
Basics I,The girl is announcing.,translation-eng,Puella nuntiat.,Nuntiat puella.,,,,
Basics I,nauta,vocab,sailor,,,,,
Basics I,Agricola portat.,translation-lat,The farmer carries.,A farmer carries.,The farmer is carrying.,A farmer is carrying.,,
Basics I,Agricolae portant.,translation-lat,The farmers carry.,Farmers carry.,The farmers are carrying.,,,
Basics I,Puella amat.,translation-lat,The girl loves.,A girl loves,,,,
Basics I,F?lia lab?rat.,translation-lat,The girl works.,A girl works.,A girl is working.,The girl is working.,,
Basics I,Puellae amant.,translation-lat,The girls love.,Girls love.,,,,
Basics I,F?liae lab?rant.,translation-lat,The girls work.,Girls work.,The girls are working.,,,
Basics I,Dominae amant.,translation-lat,The ladies love.,Ladies love.,,,,
Basics I,Domina amat.,translation-lat,The lady loves.,A lady loves.,,,,
Basics I,Nauta n?ntiat.,translation-lat,The sailor announces.,A sailor announces.,The sailor is announcing.,A sailor is announcing.,,
Basics I,Nauta pugnat.,translation-lat,The sailor fights.,A sailor fights.,The sailor is fighting.,A sailor is fighting.,,
Basics I,Nautae n?ntiant,translation-lat,The sailors announce.,Sailors announce.,The sailors are announcing.,,,
Basics I,Nautae pugnant.,translation-lat,The sailors fight.,Sailors fight.,The sailors are fighting.,,,
Basics I,portant,vocab,They carry.,They are carrying.,,,,
Basics I,pugnant,vocab,They fight.,They are fighting. ,,,,
Basics I,amant,vocab,They love.,,,,,
Basics I,aqua,vocab,water,,,,,
Basics I,ini?ria,vocab,wrong,injury,,,,
Basics II,The farmer’s daughter labors.,translation-eng,Agricolae puella laborat.,Puella agricolae laborat.,,,,
